           k         eta           a       delta      delta'
   0.0501187   5.7161900   0.0384987   0.0200873   0.0062251
   0.0501187   5.7601200   0.0388421   0.0203617   0.0062672
   0.0501187   5.8040500   0.0391854   0.0206380   0.0063095
   0.0501187   5.8479800   0.0395288   0.0209161   0.0063521
   0.0501187   5.8919100   0.0398721   0.0211961   0.0063950
   0.0501187   5.9358400   0.0402155   0.0214779   0.0064381
   0.0501187   5.9797700   0.0405589   0.0217617   0.0064815
   0.0501187   6.0237000   0.0409022   0.0220474   0.0065250
   0.0501187   6.0676300   0.0412456   0.0223350   0.0065688
   0.0501187   6.1115600   0.0415889   0.0226245   0.0066128
   0.0501187   6.1554900   0.0419323   0.0229160   0.0066570
   0.0501187   6.1994200   0.0422757   0.0232094   0.0067015
   0.0501187   6.2433500   0.0426190   0.0235048   0.0067461
   0.0501187   6.2872800   0.0429624   0.0238022   0.0067909
   0.0501187   6.3312100   0.0433057   0.0241015   0.0068359
   0.0501187   6.3751400   0.0436491   0.0244028   0.0068810
   0.0501187   6.4190700   0.0439925   0.0247060   0.0069264
   0.0501187   6.4630000   0.0443358   0.0250113   0.0069719
   0.0501187   6.5069300   0.0446792   0.0253186   0.0070175
   0.0501187   6.5508600   0.0450225   0.0256279   0.0070633
   0.0501187   6.5947900   0.0453659   0.0259392   0.0071093
   0.0501187   6.6387200   0.0457093   0.0262525   0.0071554
   0.0501187   6.6826500   0.0460526   0.0265678   0.0072017
   0.0501187   6.7265800   0.0463960   0.0268852   0.0072480
   0.0501187   6.7705100   0.0467394   0.0272047   0.0072946
   0.0501187   6.8144400   0.0470827   0.0275261   0.0073412
   0.0501187   6.8583700   0.0474261   0.0278497   0.0073880
   0.0501187   6.9023000   0.0477694   0.0281752   0.0074349
   0.0501187   6.9462300   0.0481128   0.0285029   0.0074819
   0.0501187   6.9901600   0.0484562   0.0288326   0.0075290
   0.0501187   7.0340900   0.0487995   0.0291644   0.0075762
   0.0501187   7.0780200   0.0491429   0.0294983   0.0076236
   0.0501187   7.1219500   0.0494863   0.0298342   0.0076710
   0.0501187   7.1658800   0.0498296   0.0301722   0.0077186
   0.0501187   7.2098100   0.0501730   0.0305124   0.0077662
   0.0501187   7.2537400   0.0505164   0.0308546   0.0078139
   0.0501187   7.2976700   0.0508597   0.0311989   0.0078618
   0.0501187   7.3416000   0.0512031   0.0315453   0.0079097
   0.0501187   7.3855300   0.0515465   0.0318938   0.0079577
   0.0501187   7.4294600   0.0518898   0.0322445   0.0080058
   0.0501187   7.4733900   0.0522332   0.0325972   0.0080540
   0.0501187   7.5173200   0.0525766   0.0329521   0.0081022
   0.0501187   7.5612500   0.0529199   0.0333091   0.0081505
   0.0501187   7.6051800   0.0532633   0.0336682   0.0081989
   0.0501187   7.6491100   0.0536067   0.0340294   0.0082474
   0.0501187   7.6930400   0.0539500   0.0343928   0.0082960
   0.0501187   7.7369700   0.0542934   0.0347583   0.0083446
   0.0501187   7.7809000   0.0546368   0.0351260   0.0083933
   0.0501187   7.8248300   0.0549801   0.0354958   0.0084420
   0.0501187   7.8687600   0.0553235   0.0358677   0.0084908
   0.0501187   7.9126900   0.0556669   0.0362418   0.0085397
   0.0501187   7.9566200   0.0560103   0.0366180   0.0085887
   0.0501187   8.0005500   0.0563536   0.0369964   0.0086377
   0.0501187   8.0444800   0.0566970   0.0373769   0.0086867
   0.0501187   8.0884100   0.0570404   0.0377596   0.0087358
   0.0501187   8.1323400   0.0573837   0.0381444   0.0087850
   0.0501187   8.1762700   0.0577271   0.0385314   0.0088342
   0.0501187   8.2202000   0.0580705   0.0389206   0.0088835
